Date,Time,Weather,Temp,Rain,Cloud,Pressure,Wind,Gust
1/17/2010,12:00,Partly cloudy,20 °c,"0.0
mm",53%,1025 mb,4 km/h,11 km/h
1/17/2010,15:00,Partly cloudy,23 °c,"0.0
mm",48%,1023 mb,4 km/h,10 km/h
1/17/2010,18:00,Partly cloudy,19 °c,"0.0
mm",50%,1024 mb,5 km/h,7 km/h
1/17/2010,21:00,Clear,17 °c,"0.0
mm",12%,1025 mb,5 km/h,9 km/h
1/18/2010,0:00,Clear,15 °c,"0.0
mm",10%,1025 mb,3 km/h,6 km/h
1/18/2010,3:00,Clear,14 °c,"0.0
mm",7%,1024 mb,4 km/h,6 km/h
1/18/2010,6:00,Clear,13 °c,"0.0
mm",7%,1024 mb,2 km/h,3 km/h
1/18/2010,9:00,Sunny,19 °c,"0.0
mm",13%,1024 mb,2 km/h,8 km/h
1/18/2010,12:00,Sunny,22 °c,"0.0
mm",11%,1022 mb,5 km/h,16 km/h
1/18/2010,15:00,Sunny,24 °c,"0.0
mm",10%,1020 mb,7 km/h,13 km/h
1/18/2010,18:00,Clear,19 °c,"0.0
mm",4%,1020 mb,12 km/h,18 km/h
1/18/2010,21:00,Clear,17 °c,"0.0
mm",6%,1021 mb,7 km/h,18 km/h
1/19/2010,0:00,Clear,16 °c,"0.0
mm",5%,1020 mb,2 km/h,10 km/h
1/19/2010,3:00,Clear,14 °c,"0.0
mm",0%,1019 mb,3 km/h,3 km/h
1/19/2010,6:00,Clear,15 °c,"0.0
mm",2%,1020 mb,1 km/h,7 km/h
1/19/2010,9:00,Sunny,17 °c,"0.0
mm",6%,1020 mb,2 km/h,6 km/h
1/19/2010,12:00,Sunny,21 °c,"0.0
mm",3%,1018 mb,5 km/h,11 km/h
1/19/2010,15:00,Sunny,24 °c,"0.0
mm",1%,1016 mb,7 km/h,15 km/h
1/19/2010,18:00,Clear,21 °c,"0.0
mm",2%,1017 mb,13 km/h,24 km/h
1/19/2010,21:00,Clear,18 °c,"0.0
mm",17%,1019 mb,6 km/h,15 km/h
1/20/2010,0:00,Partly cloudy,17 °c,"0.0
mm",35%,1018 mb,3 km/h,5 km/h
1/20/2010,3:00,Overcast,17 °c,"0.0
mm",95%,1018 mb,5 km/h,8 km/h
1/20/2010,6:00,Overcast,17 °c,"0.0
mm",100%,1018 mb,1 km/h,2 km/h
1/20/2010,9:00,Cloudy,20 °c,"0.0
mm",81%,1019 mb,2 km/h,9 km/h
1/20/2010,12:00,Patchy rain possible,21 °c,"0.3
mm",65%,1018 mb,2 km/h,7 km/h
1/20/2010,15:00,Partly cloudy,23 °c,"0.0
mm",50%,1016 mb,3 km/h,8 km/h
1/20/2010,18:00,Partly cloudy,20 °c,"0.0
mm",41%,1017 mb,4 km/h,6 km/h
1/20/2010,21:00,Cloudy,20 °c,"0.0
mm",67%,1018 mb,4 km/h,6 km/h
1/21/2010,0:00,Moderate rain at times,19 °c,"0.5
mm",100%,1017 mb,3 km/h,8 km/h
1/21/2010,3:00,Moderate rain at times,20 °c,"0.8
mm",100%,1016 mb,4 km/h,7 km/h
1/21/2010,6:00,Heavy rain at times,20 °c,"1.0
mm",100%,1016 mb,5 km/h,8 km/h
1/21/2010,9:00,Moderate or heavy rain shower,20 °c,"2.0
mm",100%,1018 mb,4 km/h,12 km/h
1/21/2010,12:00,Heavy rain at times,20 °c,"1.3
mm",100%,1017 mb,6 km/h,14 km/h
1/21/2010,15:00,Heavy rain at times,20 °c,"1.4
mm",100%,1015 mb,7 km/h,11 km/h
1/21/2010,18:00,Moderate rain at times,20 °c,"0.9
mm",100%,1016 mb,4 km/h,6 km/h
1/21/2010,21:00,Patchy rain possible,20 °c,"0.2
mm",97%,1016 mb,5 km/h,9 km/h
1/22/2010,0:00,Patchy rain possible,20 °c,"0.4
mm",100%,1016 mb,3 km/h,5 km/h
1/22/2010,3:00,Patchy rain possible,20 °c,"0.2
mm",100%,1016 mb,2 km/h,3 km/h
1/22/2010,6:00,Patchy rain possible,20 °c,"0.2
mm",100%,1016 mb,7 km/h,18 km/h
1/22/2010,9:00,Moderate rain at times,19 °c,"0.9
mm",100%,1019 mb,7 km/h,15 km/h
1/22/2010,12:00,Moderate rain at times,18 °c,"0.6
mm",100%,1018 mb,10 km/h,15 km/h
1/22/2010,15:00,Moderate or heavy rain shower,18 °c,"2.8
mm",100%,1017 mb,13 km/h,24 km/h
1/22/2010,18:00,Moderate or heavy rain shower,16 °c,"4.1
mm",100%,1019 mb,15 km/h,24 km/h
1/22/2010,21:00,Moderate or heavy rain shower,15 °c,"4.4
mm",100%,1020 mb,8 km/h,17 km/h
1/23/2010,0:00,Moderate or heavy rain shower,14 °c,"1.6
mm",100%,1022 mb,7 km/h,16 km/h
1/23/2010,3:00,Heavy rain at times,14 °c,"1.3
mm",92%,1020 mb,7 km/h,15 km/h
1/23/2010,6:00,Moderate rain at times,13 °c,"0.8
mm",100%,1022 mb,12 km/h,19 km/h
1/23/2010,9:00,Patchy rain possible,13 °c,"0.2
mm",100%,1023 mb,8 km/h,11 km/h
1/23/2010,12:00,Overcast,14 °c,"0.0
mm",87%,1021 mb,5 km/h,14 km/h
1/23/2010,15:00,Cloudy,14 °c,"0.0
mm",73%,1020 mb,3 km/h,15 km/h
1/23/2010,18:00,Cloudy,14 °c,"0.0
mm",81%,1021 mb,7 km/h,10 km/h
1/23/2010,21:00,Patchy rain possible,14 °c,"0.1
mm",100%,1022 mb,1 km/h,7 km/h
1/24/2010,0:00,Overcast,14 °c,"0.0
mm",100%,1022 mb,1 km/h,7 km/h
1/24/2010,3:00,Overcast,14 °c,"0.0
mm",100%,1020 mb,4 km/h,6 km/h
1/24/2010,6:00,Overcast,14 °c,"0.0
mm",100%,1021 mb,6 km/h,8 km/h
1/24/2010,9:00,Overcast,14 °c,"0.0
mm",100%,1021 mb,1 km/h,5 km/h
1/24/2010,12:00,Cloudy,16 °c,"0.0
mm",69%,1019 mb,4 km/h,5 km/h
1/24/2010,15:00,Partly cloudy,18 °c,"0.0
mm",37%,1018 mb,6 km/h,8 km/h
1/24/2010,18:00,Partly cloudy,16 °c,"0.0
mm",29%,1019 mb,7 km/h,11 km/h
1/24/2010,21:00,Overcast,15 °c,"0.0
mm",100%,1019 mb,3 km/h,5 km/h
1/25/2010,0:00,Overcast,14 °c,"0.0
mm",100%,1020 mb,2 km/h,4 km/h
1/25/2010,3:00,Cloudy,15 °c,"0.0
mm",82%,1019 mb,4 km/h,7 km/h
1/25/2010,6:00,Overcast,15 °c,"0.0
mm",100%,1021 mb,6 km/h,10 km/h
1/25/2010,9:00,Patchy rain possible,16 °c,"0.4
mm",100%,1024 mb,7 km/h,10 km/h
1/25/2010,12:00,Patchy rain possible,16 °c,"0.1
mm",100%,1022 mb,5 km/h,19 km/h
1/25/2010,15:00,Patchy rain possible,17 °c,"0.1
mm",100%,1021 mb,3 km/h,16 km/h
1/25/2010,18:00,Patchy rain possible,16 °c,"0.2
mm",100%,1022 mb,5 km/h,8 km/h
1/25/2010,21:00,Overcast,16 °c,"0.0
mm",99%,1024 mb,2 km/h,3 km/h
1/26/2010,0:00,Overcast,16 °c,"0.0
mm",100%,1024 mb,3 km/h,5 km/h
1/26/2010,3:00,Overcast,15 °c,"0.0
mm",100%,1023 mb,5 km/h,8 km/h
1/26/2010,6:00,Overcast,15 °c,"0.0
mm",100%,1023 mb,5 km/h,8 km/h
1/26/2010,9:00,Overcast,15 °c,"0.0
mm",100%,1025 mb,5 km/h,7 km/h
1/26/2010,12:00,Overcast,15 °c,"0.0
mm",100%,1023 mb,4 km/h,11 km/h
1/26/2010,15:00,Overcast,15 °c,"0.0
mm",100%,1021 mb,4 km/h,9 km/h
1/26/2010,18:00,Overcast,15 °c,"0.0
mm",90%,1021 mb,3 km/h,5 km/h
1/26/2010,21:00,Overcast,14 °c,"0.0
mm",89%,1021 mb,1 km/h,2 km/h
1/27/2010,0:00,Cloudy,14 °c,"0.0
mm",82%,1021 mb,0 km/h,1 km/h
1/27/2010,3:00,Overcast,14 °c,"0.0
mm",90%,1018 mb,1 km/h,1 km/h
1/27/2010,6:00,Overcast,14 °c,"0.0
mm",100%,1018 mb,1 km/h,2 km/h
1/27/2010,9:00,Overcast,15 °c,"0.0
mm",100%,1020 mb,4 km/h,5 km/h
1/27/2010,12:00,Partly cloudy,19 °c,"0.0
mm",56%,1018 mb,5 km/h,10 km/h
1/27/2010,15:00,Sunny,21 °c,"0.0
mm",12%,1015 mb,6 km/h,11 km/h
1/27/2010,18:00,Overcast,20 °c,"0.0
mm",100%,1016 mb,6 km/h,11 km/h
1/27/2010,21:00,Overcast,16 °c,"0.0
mm",100%,1017 mb,3 km/h,11 km/h
1/28/2010,0:00,Overcast,14 °c,"0.0
mm",100%,1017 mb,2 km/h,8 km/h
1/28/2010,3:00,Overcast,14 °c,"0.0
mm",100%,1016 mb,2 km/h,4 km/h
1/28/2010,6:00,Overcast,15 °c,"0.0
mm",90%,1017 mb,1 km/h,2 km/h
1/28/2010,9:00,Cloudy,19 °c,"0.0
mm",82%,1018 mb,1 km/h,6 km/h
1/28/2010,12:00,Partly cloudy,21 °c,"0.0
mm",47%,1016 mb,6 km/h,7 km/h
1/28/2010,15:00,Sunny,23 °c,"0.0
mm",13%,1014 mb,7 km/h,13 km/h
1/28/2010,18:00,Partly cloudy,20 °c,"0.0
mm",30%,1015 mb,5 km/h,15 km/h
1/28/2010,21:00,Overcast,18 °c,"0.0
mm",100%,1016 mb,6 km/h,11 km/h
1/29/2010,0:00,Overcast,18 °c,"0.0
mm",100%,1016 mb,5 km/h,13 km/h
1/29/2010,3:00,Overcast,18 °c,"0.0
mm",100%,1016 mb,5 km/h,7 km/h
1/29/2010,6:00,Overcast,18 °c,"0.0
mm",93%,1017 mb,4 km/h,7 km/h
1/29/2010,9:00,Patchy rain possible,20 °c,"0.3
mm",94%,1019 mb,4 km/h,10 km/h
1/29/2010,12:00,Patchy rain possible,22 °c,"0.2
mm",84%,1017 mb,6 km/h,15 km/h
1/29/2010,15:00,Patchy rain possible,24 °c,"0.2
mm",74%,1015 mb,9 km/h,15 km/h
1/29/2010,18:00,Partly cloudy,21 °c,"0.0
mm",32%,1015 mb,6 km/h,16 km/h
1/29/2010,21:00,Overcast,19 °c,"0.0
mm",100%,1015 mb,5 km/h,15 km/h
1/30/2010,0:00,Overcast,19 °c,"0.0
mm",100%,1015 mb,6 km/h,12 km/h
1/30/2010,3:00,Overcast,19 °c,"0.0
mm",100%,1014 mb,8 km/h,15 km/h
1/30/2010,6:00,Overcast,19 °c,"0.0
mm",100%,1015 mb,5 km/h,9 km/h
1/30/2010,9:00,Partly cloudy,23 °c,"0.0
mm",53%,1015 mb,11 km/h,20 km/h
1/30/2010,12:00,Partly cloudy,26 °c,"0.0
mm",32%,1013 mb,12 km/h,31 km/h
1/30/2010,15:00,Sunny,28 °c,"0.0
mm",10%,1011 mb,13 km/h,23 km/h
1/30/2010,18:00,Clear,23 °c,"0.0
mm",12%,1012 mb,15 km/h,27 km/h
1/30/2010,21:00,Clear,21 °c,"0.0
mm",24%,1014 mb,11 km/h,23 km/h
1/31/2010,0:00,Partly cloudy,21 °c,"0.0
mm",27%,1013 mb,9 km/h,22 km/h
1/31/2010,3:00,Overcast,20 °c,"0.0
mm",100%,1013 mb,5 km/h,16 km/h
1/31/2010,6:00,Overcast,20 °c,"0.0
mm",100%,1015 mb,4 km/h,8 km/h
1/31/2010,9:00,Sunny,23 °c,"0.0
mm",6%,1016 mb,5 km/h,10 km/h
1/31/2010,12:00,Sunny,27 °c,"0.0
mm",7%,1014 mb,7 km/h,12 km/h
1/31/2010,15:00,Sunny,30 °c,"0.0
mm",8%,1012 mb,9 km/h,11 km/h
1/31/2010,18:00,Clear,24 °c,"0.0
mm",5%,1013 mb,10 km/h,16 km/h
1/31/2010,21:00,Clear,22 °c,"0.0
mm",25%,1013 mb,8 km/h,19 km/h
2/1/2010,0:00,Clear,21 °c,"0.0
mm",13%,1013 mb,4 km/h,12 km/h
2/1/2010,3:00,Overcast,20 °c,"0.0
mm",100%,1013 mb,5 km/h,9 km/h
2/1/2010,6:00,Clear,20 °c,"0.0
mm",16%,1014 mb,1 km/h,7 km/h
2/1/2010,9:00,Sunny,23 °c,"0.0
mm",8%,1015 mb,5 km/h,11 km/h
2/1/2010,12:00,Sunny,27 °c,"0.0
mm",13%,1012 mb,8 km/h,11 km/h
2/1/2010,15:00,Sunny,29 °c,"0.0
mm",18%,1010 mb,12 km/h,17 km/h
2/1/2010,18:00,Clear,24 °c,"0.0
mm",13%,1011 mb,13 km/h,20 km/h
2/1/2010,21:00,Clear,22 °c,"0.0
mm",21%,1012 mb,10 km/h,21 km/h
2/2/2010,0:00,Partly cloudy,21 °c,"0.0
mm",25%,1012 mb,7 km/h,18 km/h
2/2/2010,3:00,Overcast,20 °c,"0.0
mm",100%,1011 mb,5 km/h,15 km/h
2/2/2010,6:00,Overcast,20 °c,"0.0
mm",100%,1012 mb,6 km/h,11 km/h
2/2/2010,9:00,Sunny,24 °c,"0.0
mm",3%,1013 mb,4 km/h,11 km/h
2/2/2010,12:00,Sunny,28 °c,"0.0
mm",7%,1011 mb,7 km/h,12 km/h
2/2/2010,15:00,Sunny,30 °c,"0.0
mm",10%,1009 mb,9 km/h,16 km/h
2/2/2010,18:00,Clear,25 °c,"0.0
mm",5%,1010 mb,14 km/h,23 km/h
2/2/2010,21:00,Clear,23 °c,"0.0
mm",18%,1012 mb,10 km/h,20 km/h
2/3/2010,0:00,Partly cloudy,22 °c,"0.0
mm",27%,1012 mb,8 km/h,18 km/h
2/3/2010,3:00,Overcast,21 °c,"0.0
mm",100%,1011 mb,5 km/h,13 km/h
2/3/2010,6:00,Partly cloudy,21 °c,"0.0
mm",33%,1012 mb,10 km/h,19 km/h
2/3/2010,9:00,Patchy rain possible,26 °c,"0.2
mm",82%,1013 mb,10 km/h,16 km/h
2/3/2010,12:00,Patchy rain possible,28 °c,"0.2
mm",84%,1011 mb,12 km/h,20 km/h
2/3/2010,15:00,Sunny,30 °c,"0.0
mm",7%,1010 mb,14 km/h,26 km/h
